teamNum,matchNum,alliance,driveStation,startLocation,preload,mobility,autoPickups,autoCones,autoCubes,autoBalance,communityPickups,neutralPickups,singlePickups,doublePickups,teleopCones,teleopCubes,shuttle,teleopBalance,buddyClimb,driver,scoutName,comments,scoredT,scoredA,scoredCones,scoredCubes,totalPickups,scoredLowT,scoredMidT,scoredHightT,scoredLowA,scoredMidA,scoredHighA,scoredTCones,scoredTCubes,scoredACones,scoredACubes,scoredHighT,pointsT,pointsA,pointsTotal,ct
7088,18,b,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,engage,TRUE,2,cobleigh,unstable and slow.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,57.5
2714,19,b,,2,NA,FALSE,NA,NA,NA,dock,0,0,0,3,"25,7,9",8,FALSE,dock,FALSE,4,cobleigh,very good speed. consistent scorer.,4,2,4,2,6,3,0,0,0,0,0,3,1,1,1,1,11,6,17,30.75
1477,17,b,,2,cone,FALSE,NA,6,NA,engage,0,4,2,0,"6,4,1,3","5,2,23",FALSE,engage,FALSE,4,gabri,struggled to get cone out of the robot a few times. super accurate placement,7,2,5,4,9,6,0,0,1,0,0,4,3,1,1,1,17,9,26,19.071
7125,18,b,,2,cube,FALSE,NA,NA,NA,na,0,2,0,0,NA,"24,19",FALSE,park,FALSE,4,gabri,"dodging everyone, pushed cubes in ",3,2,2,3,5,0,0,0,0,0,0,1,2,1,1,2,10,12,22,45
6180,19,b,,3,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,2,gabri,literally spun and didnt do anything. no defense,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
5503,17,r,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,engage,FALSE,3,harold,"no intake, no arm. supposed to be a soccer bot but not really good at that. did manage to climb, however. ",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,63
9054,18,r,,1,NA,TRUE,NA,NA,NA,na,0,1,0,0,NA,NA,FALSE,engage,FALSE,1,harold,"soccer bot, but could not do that well. seemed to just wander around aimlessly for most of the match. did climb pretty well, though. no intake.",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,64
5866,19,r,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,5,FALSE,na,FALSE,1,harold,mostly wandered around aimlessly. ,2,2,2,2,4,1,0,0,0,0,0,1,1,1,1,0,2,0,2,67.5
8088,16,b,,1,cone,FALSE,NA,1,NA,na,0,1,1,0,"1,3",2,FALSE,fail,FALSE,3,gabri,"fell over on platform, accurate with cones on high",3,2,3,2,5,3,0,0,1,0,0,2,1,1,1,0,6,3,9,45
3847,20,b,,1,cube,TRUE,NA,NA,21,dock,5,1,0,0,"4,6,7,9",21,FALSE,engage,FALSE,4,nguyen,"very quick cycle time and movement, smooth driver and good manueverability, missed 2 cone placements and 1 cube placement",5,2,5,2,7,4,0,0,0,0,1,4,1,1,1,1,13,6,19,26.8
